Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee
TSCO.NQ;Sell;91.0501;100;04.sty;Filled;EDGA;15:59:53.086;0.25;ROUT;0.19849;20160630;0.0169;0.0138
TSCO.NQ;Buy;91.01;100;0.00;Filled;EDGA;15:59:10.462;0.25;ROUT;0.00;20160630;0.0169;0.00
TSCO.NQ;Buy;90.97;100;-2.97;Filled;EDGX;15:57:24.862;0.30;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;90.9403;100;0.00;Filled;EDGA;15:57:20.132;0.25;ROUT;0.19825;20160630;0.0169;0.0138
V.NY;Sell;74.10;40;7.604;Filled;EDGX;15:56:36.696;0.12;ROUX;0.06462;20160630;0.00676;0.00552
V.NY;Sell;74.10;60;11.406;Partially Filled;EDGX;15:56:36.696;0.18;ROUX;0.09692;20160630;0.01014;0.00828
LGF.NY;Buy;20.21;100;4.00;Filled;EDGX;15:55:15.374;0.29;ROUX;0.00;20160630;0.0169;0.00
STZ.NY;Sell;165.24;100;09.sty;Filled;EDGX;15:54:46.362;0.30;ROUX;0.36022;20160630;0.0169;0.0138
STZ.NY;Buy;165.1499;100;0.00;Filled;EDGA;15:54:21.645;0.25;ROUT;0.00;20160630;0.0169;0.00
LGF.NY;ShortSell;20.25;100;0.00;Filled;EDGA;15:53:03.495;-0.02;ROUT;0.04414;20160630;0.0169;0.0138
LGF.NY;Sell;20.29;100;0.00;Filled;EDGX;15:52:43.883;0.30;ROUX;0.04423;20160630;0.0169;0.0138
LGF.NY;Buy;20.29;100;0.00;Filled;EDGX;15:52:31.497;0.30;ROUX;0.00;20160630;0.0169;0.00
V.NY;Buy;73.9099;100;0.00;Filled;EDGA;15:52:23.431;0.25;ROUT;0.00;20160630;0.0169;0.00
LGF.NY;Sell;20.20;100;0.01;Filled;EDGX;15:51:48.118;0.29;ROUX;0.04404;20160630;0.0169;0.0138
LGF.NY;Buy;20.1999;100;0.00;Filled;EDGA;15:51:35.438;0.25;ROUT;0.00;20160630;0.0169;0.00
TSCO.NQ;Buy;90.90;65;-5.20;Filled;EDGX;15:51:22.826;0.195;ROUX;0.00;20160630;0.01099;0.00
TSCO.NQ;Buy;90.90;35;-2.80;Partially Filled;EDGX;15:51:22.826;0.105;ROUX;0.00;20160630;0.00591;0.00
TSCO.NQ;ShortSell;90.82;45;0.00;Filled;EDGA;15:50:56.332;0.1215;ROUT;0.08909;20160630;0.0076;0.00621
TSCO.NQ;ShortSell;90.82;55;0.00;Partially Filled;EDGA;15:50:56.332;0.1485;ROUT;0.10889;20160630;0.00929;0.00759
HSY.NY;Buy;113.70;100;-7.00;Filled;EDGX;15:50:30.101;0.29;ROUX;0.00;20160630;0.0169;0.00
HSY.NY;ShortSell;113.63;100;0.00;Filled;EDGX;15:50:13.070;0.30;ROUX;0.24771;20160630;0.0169;0.0138
TSCO.NQ;Buy;90.87;100;01.sty;Filled;EDGX;15:50:03.944;0.30;ROUX;0.00;20160630;0.0169;0.00
K.NY;Buy;81.57;100;-1.00;Filled;EDGX;15:49:23.862;0.29;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;90.8801;100;0.00;Filled;EDGA;15:47:35.060;0.25;ROUT;0.19812;20160630;0.0169;0.0138
K.NY;ShortSell;81.56;100;0.00;Filled;EDGX;15:47:08.988;0.29;ROUX;0.1778;20160630;0.0169;0.0138
TSCO.NQ;Sell;90.84;100;17.mar;Filled;EDGX;15:46:38.369;0.30;ROUX;0.19803;20160630;0.0169;0.0138
TSCO.NQ;Buy;90.6697;100;0.00;Filled;EDGA;15:45:17.682;0.25;ROUT;0.00;20160630;0.0169;0.00
HSY.NY;Buy;113.90;100;3.00;Filled;EDGX;15:44:48.262;0.30;ROUX;0.00;20160630;0.0169;0.00
HSY.NY;ShortSell;113.93;100;0.00;Filled;EDGA;15:44:27.162;-0.02;ROUT;0.24837;20160630;0.0169;0.0138
HSY.NY;Sell;113.76;100;-6.48;Filled;EDGX;15:39:07.501;0.30;ROUX;0.248;20160630;0.0169;0.0138
HSY.NY;Buy;113.83;48;0.00;Filled;EDGX;15:38:42.254;0.144;ROUX;0.00;20160630;0.00811;0.00
HSY.NY;Buy;113.82;52;0.00;Partially Filled;EDGX;15:38:42.253;0.156;ROUX;0.00;20160630;0.00879;0.00
