Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee;;;;;;;;;
BIIB.NQ;Buy;250.69;300;6.00;Filled;EDGX;15:58:25.057;0.90;ROUT;0.00;20160609;0.0507;0.00;;;;;;;;;
BIIB.NQ;ShortSell;250.71;85;0.00;Filled;EDGA;15:58:05.733;0.2125;ROUT;0.46457;20160609;0.01436;0.01173;;;;;;;;;
BIIB.NQ;ShortSell;250.71;100;0.00;Partially Filled;EDGA;15:58:05.733;0.25;ROUT;0.54655;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;ShortSell;250.71;100;0.00;Partially Filled;EDGA;15:58:05.733;0.25;ROUT;0.54655;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;ShortSell;250.71;15;0.00;Partially Filled;EDGA;15:58:05.733;0.0375;ROUT;0.08198;20160609;0.00253;0.00207;;;;;;;;;
BIIB.NQ;Buy;250.74;100;-4.00;Filled;EDGX;15:57:56.412;0.29;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
BIIB.NQ;Buy;250.72;100;-2.00;Partially Filled;EDGX;15:57:56.412;0.30;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
BIIB.NQ;Buy;250.72;100;-2.00;Partially Filled;EDGX;15:57:56.412;0.30;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
BIIB.NQ;ShortSell;250.70;3;0.00;Filled;EDGA;15:57:10.287;0.0075;ROUT;0.0164;20160609;0.00051;0.00041;;;;;;;;;
BIIB.NQ;ShortSell;250.70;100;0.00;Partially Filled;EDGA;15:57:10.287;0.25;ROUT;0.54653;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;ShortSell;250.70;100;0.00;Partially Filled;EDGA;15:57:10.187;0.25;ROUT;0.54653;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;ShortSell;250.70;97;0.00;Partially Filled;EDGA;15:57:10.168;-0.0194;ROUT;0.53013;20160609;0.01639;0.01339;;;;;;;;;
BIIB.NQ;Sell;250.92;100;-7.00;Filled;EDGX;15:56:12.570;0.30;ROUT;0.54701;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;Sell;250.92;100;-7.00;Partially Filled;EDGX;15:56:12.570;0.30;ROUT;0.54701;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;Sell;250.92;100;-4.84;Partially Filled;EDGX;15:56:12.570;0.30;ROUT;0.54701;20160609;0.0169;0.0138;;;;;;;;;
BIIB.NQ;Buy;250.99;28;0.00;Filled;EDGA;15:55:53.109;0.07;ROUT;0.00;20160609;0.00473;0.00;;;;;;;;;
BIIB.NQ;Buy;250.99;200;0.00;Partially Filled;EDGA;15:55:53.109;0.50;ROUT;0.00;20160609;0.0338;0.00;;;;;;;;;
BIIB.NQ;Buy;250.96;72;0.00;Partially Filled;EDGA;15:55:53.108;0.1944;ROUT;0.00;20160609;0.01217;0.00;;;;;;;;;
MNST.NQ;Sell;154.71;100;32.05;Filled;EDGX;15:55:31.571;0.30;ROUT;0.33727;20160609;0.0169;0.0138;;;;;;;;;
MNST.NQ;Sell;154.71;100;32.0165;Partially Filled;EDGX;15:55:31.571;0.30;ROUT;0.33727;20160609;0.0169;0.0138;;;;;;;;;
RH.NY;Sell;28.57;100;2.00;Filled;EDGA;15:53:52.944;0.27;ROUT;0.06228;20160609;0.0169;0.0138;;;;;;;;;
RH.NY;Sell;28.57;500;10.00;Partially Filled;EDGA;15:53:52.941;1.25;ROUT;0.31141;20160609;0.0845;0.069;;;;;;;;;
RH.NY;Buy;28.55;23;0.00;Filled;EDGA;15:53:44.604;0.0575;ROUT;0.00;20160609;0.00389;0.00;;;;;;;;;
RH.NY;Buy;28.55;31;0.00;Partially Filled;EDGA;15:53:44.604;0.0775;ROUT;0.00;20160609;0.00524;0.00;;;;;;;;;
RH.NY;Buy;28.55;100;0.00;Partially Filled;EDGA;15:53:44.604;0.25;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
RH.NY;Buy;28.55;200;0.00;Partially Filled;EDGA;15:53:44.604;0.54;ROUT;0.00;20160609;0.0338;0.00;;;;;;;;;
RH.NY;Buy;28.55;100;0.00;Partially Filled;EDGA;15:53:44.604;0.27;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
RH.NY;Buy;28.55;100;0.00;Partially Filled;EDGA;15:53:44.604;0.25;ROUT;0.00;20160609;0.0169;0.00;;;;;;;;;
RH.NY;Buy;28.55;46;0.00;Partially Filled;EDGA;15:53:44.604;0.115;ROUT;0.00;20160609;0.00777;0.00;;;;;;;;;
